SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN,TIMESTAMP
BHARATRAS,EQ,2902.05,3000,2890,2984.75,2980,2923.8,1114,3268945.4,199,INE838B01013,2017-06-28
BHARATWIRE,EQ,89.55,90.85,87.5,88.25,88.5,89.35,148461,13246527.85,963,INE316L01019,2017-06-28
BHARTIARTL,EQ,374.9,381.65,367.5,377.2,378.7,371.45,3794226,1415125621.5,57586,INE397D01024,2017-06-28
BHEL,EQ,134.1,136.8,132.5,136.3,136.55,134.4,3060003,413250882.45,16580,INE257A01026,2017-06-28
BHUSANSTL,EQ,68.35,68.7,65.2,66.05,65.8,68.4,1765947,117462431.25,13477,INE824B01021,2017-06-28
BIGBLOC,EQ,85.5,85.75,84.5,85.1,85.5,86,17606,1501398.3,153,INE412U01017,2017-06-28
BIL,EQ,589.25,595,576.1,580.3,576.5,591.8,25743,15172095.4,711,INE828A01016,2017-06-28
BILENERGY,EQ,0.75,0.75,0.75,0.75,0.75,0.8,10000,7500,2,INE607L01029,2017-06-28
BILPOWER,EQ,1.4,1.4,1.4,1.4,1.4,1.4,391,547.4,1,INE952D01018,2017-06-28
BINANIIND,EQ,74.8,75.75,73.5,73.85,73.6,73.75,19525,1446276.1,294,INE071A01013,2017-06-28
BINDALAGRO,EQ,23.5,23.9,23.35,23.55,23.5,23.45,35071,825632.95,169,INE143A01010,2017-06-28
BIOCON,EQ,322.95,329.55,319.25,328,329.55,322.95,1010224,328444657.05,15477,INE376G01013,2017-06-28
BIRLACABLE,EQ,41.95,42,41,41.45,41.3,41.3,9666,403029.5,180,INE800A01015,2017-06-28
BIRLACORPN,EQ,879.85,879.85,862.15,868,867.95,868.75,6756,5880058.35,647,INE340A01012,2017-06-28
BIRLAMONEY,EQ,66.95,68,65.85,67,67,66,1200518,80371199.1,6941,INE865C01022,2017-06-28
BLISSGVS,EQ,154.8,161.1,152.8,155.4,155.65,153.85,236857,37113944.35,2525,INE416D01022,2017-06-28
BLKASHYAP,EQ,36,36.6,35.1,35.5,35.8,35.95,183728,6576063.9,708,INE350H01032,2017-06-28
BLS,EQ,182.3,192.4,180,191.05,191.5,181.2,68481,12955658.8,791,INE153T01027,2017-06-28
BLUEBLENDS,EQ,61.4,61.5,55.5,55.95,55.5,61.65,285726,16315861.1,1708,INE113O01014,2017-06-28
BLUEDART,EQ,4249.95,4316.95,4213,4302.6,4291,4238.35,34738,149294718.5,1210,INE233B01017,2017-06-28
BLUESTARCO,EQ,606.4,611,580,602.35,601,609.55,15255,9177727.75,1139,INE472A01039,2017-06-28
BODALCHEM,EQ,158.7,158.7,156.1,157.25,156.5,157.85,102104,16054601.7,1791,INE338D01028,2017-06-28
BOMDYEING,EQ,80.95,82.85,80.55,81.7,81.5,80.7,1860606,151984195.55,10717,INE032A01023,2017-06-28
BOSCHLTD,EQ,23240,23550,23140.05,23309.05,23201.75,23247.5,8558,199775281.75,3004,INE323A01026,2017-06-28
BPCL,EQ,610,624.6,608.65,616.7,617.1,612.05,3532200,2186043558.9,101719,INE029A01011,2017-06-28
BPL,EQ,66.75,67.3,65,65.6,65.6,66.85,290619,19136328.6,2192,INE110A01019,2017-06-28
BRFL,EQ,134,136,129.1,134.6,134,133.6,152446,20385217.05,931,INE589G01011,2017-06-28
BRIGADE,EQ,266.2,272.6,262.8,268.1,265.95,267.4,50789,13614915.35,1796,INE791I01019,2017-06-28
BRITANNIA,EQ,3645,3675.6,3590.05,3636.15,3650,3647.55,128578,466377664.35,20470,INE216A01022,2017-06-28
BROOKS,EQ,105.85,105.85,101.1,102.5,103.5,104,28907,2983724.75,475,INE650L01011,2017-06-28
BSE,EQ,1048,1080.5,1040,1074.05,1074,1048.3,73849,78373269.6,3564,INE118H01025,2017-06-28
BSELINFRA,EQ,4.3,4.3,4.05,4.2,4.2,4.2,53089,223217.15,70,INE395A01016,2017-06-28
BSL,EQ,72.9,74.85,72.9,73.15,72.95,73,2343,172028.3,26,INE594B01012,2017-06-28
BSLGOLDETF,EQ,2739,2739,2666,2666,2666,2691,7,18808,4,INF209K01HT2,2017-06-28
BSLIMITED,EQ,1.65,1.65,1.55,1.65,1.6,1.65,445735,714168.95,340,INE043K01029,2017-06-28
CADILAHC,EQ,526.4,532,522.1,527.7,528,526.6,541658,285714223.85,12777,INE010B01027,2017-06-28
CAMLINFINE,EQ,90.7,92,85.35,86.2,85.85,89.6,461229,41117790.65,4490,INE052I01032,2017-06-28
CANBK,EQ,318.4,328,317.1,326,327.4,323.8,3746081,1212070236.95,28818,INE476A01014,2017-06-28
CANFINHOME,EQ,3035,3125,3000,3109.35,3121,3066.25,187811,578042840.5,11898,INE477A01012,2017-06-28
CANTABIL,EQ,67.05,68.5,67.05,67.5,67.3,67.8,4882,329561.75,30,INE068L01016,2017-06-28
CAPF,EQ,650,674,642.1,670.75,671,657,653341,432519790.2,14951,INE688I01017,2017-06-28
CAPLIPOINT,EQ,563,566.95,550.05,553.25,552.95,563.35,45394,25341714.45,3038,INE475E01026,2017-06-28
CAPTRUST,EQ,375,377.5,370,375.4,377.5,373.4,2046,766766.55,71,INE707C01018,2017-06-28
CARBORUNIV,EQ,323.6,331,321.3,322.85,322,325.3,56194,18207175.95,2487,INE120A01034,2017-06-28
CAREERP,EQ,98.7,104,98.7,102.4,103,99.35,11229,1151505.05,367,INE521J01018,2017-06-28
CARERATING,EQ,1438,1473,1404.45,1422.2,1415,1438.05,22380,32184042.15,3481,INE752H01013,2017-06-28
CASTEXTECH,EQ,7.1,8.2,6.5,7.8,8.15,7.2,3015092,22399796.4,2773,INE068D01021,2017-06-28
CASTROLIND,EQ,406.95,407,402.5,403.55,403,406.35,590036,238613723.55,8595,INE172A01027,2017-06-28
CCCL,EQ,5.25,5.4,5.15,5.15,5.15,5.4,300020,1556869.7,170,INE429I01024,2017-06-28
CCHHL,EQ,13.3,14.5,13,13.85,13.9,12.65,1071704,14852353.55,2662,INE652F01027,2017-06-28
CCL,EQ,285,293.9,281.15,287.65,287,282.55,56081,16127277.2,3507,INE421D01022,2017-06-28
CEATLTD,EQ,1781,1820,1755.6,1809.8,1820,1781.65,807290,1446260248.7,23005,INE482A01020,2017-06-28
CEBBCO,EQ,11,11.2,10.95,11.15,11.15,11.05,25921,287564.8,96,INE209L01016,2017-06-28
CELEBRITY,EQ,14.9,14.9,13.75,14,14.2,14.4,49058,695867.45,215,INE185H01016,2017-06-28
CELESTIAL,EQ,22.5,23,22.35,22.45,22.5,22.7,34752,783783.75,194,INE221I01017,2017-06-28
CENTENKA,EQ,364,391.5,364,384.25,388.7,363.95,85831,32774149.8,3509,INE485A01015,2017-06-28
CENTEXT,EQ,4.65,4.9,4.65,4.7,4.75,4.75,30006,141100.8,61,INE281A01026,2017-06-28
CENTRALBK,EQ,88.5,88.9,87,87.4,87,88.85,754141,66142662.85,2888,INE483A01010,2017-06-28
CENTUM,EQ,680.05,703,673,686.95,688,692.7,3148,2162600.95,203,INE320B01020,2017-06-28
CENTURYPLY,EQ,289.5,302.5,289.5,300.85,301,290.9,150634,44815559.3,3029,INE348B01021,2017-06-28
CENTURYTEX,EQ,1100,1117,1086.75,1104.45,1104,1102.9,723441,798204255.5,14862,INE055A01016,2017-06-28
CERA,EQ,2869.65,2990,2815.05,2951.85,2951,2869.65,7599,21948984.1,1410,INE739E01017,2017-06-28
CEREBRAINT,EQ,50,52,49.5,51,51.65,50.65,1203813,61319433.65,2401,INE345B01019,2017-06-28
CESC,EQ,855,881,847.5,880,877.6,864.7,400190,346540704.4,12008,INE486A01013,2017-06-28
CGCL,EQ,57.05,59,56.1,58,58.85,57.15,30579,1772095.9,226,INE180C01026,2017-06-28
CGPOWER,EQ,78.65,80.55,78,80.25,80.2,80,1290396,102689132.1,8411,INE067A01029,2017-06-28
CHAMBLFERT,EQ,111.5,118.95,110.25,117.9,118.75,113.35,966981,112315453.15,12624,INE085A01013,2017-06-28
CHENNPETRO,EQ,353.7,353.7,346.55,348.2,348.5,350.8,186745,65238026.3,4488,INE178A01016,2017-06-28
CIPLA,EQ,535.4,538.65,531,536.85,536.65,534.65,601643,321950114.45,21918,INE059A01026,2017-06-28
CLEDUCATE,EQ,421.25,426,421.25,424.9,424.6,424.75,17303,7351512.25,265,INE201M01011,2017-06-28
CLNINDIA,EQ,622.05,625.1,621.25,621.95,621.7,624.7,7918,4935781.05,427,INE492A01029,2017-06-28
CMICABLES,EQ,215,217.9,212.1,216.2,216,211.6,98262,21071830.75,1254,INE981B01011,2017-06-28
CNOVAPETRO,EQ,24.2,24.4,22.5,23.2,23.4,24.75,1713,40631.85,26,INE672K01025,2017-06-28
COALINDIA,EQ,246,247.2,244.55,245.75,246,244.35,3526585,866748551.75,30476,INE522F01014,2017-06-28
COFFEEDAY,EQ,242,244,240.95,242.1,242,240.95,14875,3602082.6,655,INE335K01011,2017-06-28
COLPAL,EQ,1097.45,1097.45,1071,1088.45,1087,1093.8,433219,469913163.15,18370,INE259A01022,2017-06-28
COMPINFO,EQ,23,23,21.8,22.35,22.25,22.35,82843,1851768.5,80,INE070C01037,2017-06-28
COMPUSOFT,EQ,11.2,11.2,10.6,11,11,11.1,67621,736320.9,175,INE453B01029,2017-06-28
CONCOR,EQ,1135.75,1184,1128.1,1132.1,1132,1133.85,300686,346134472.1,20758,INE111A01017,2017-06-28
CONSOFINVT,EQ,71.75,71.75,68,69.05,68.15,69.4,11484,791018.3,186,INE025A01027,2017-06-28
CONTROLPR,EQ,339.9,344.9,318.75,337.85,335,337.45,23916,7955214.9,808,INE663B01015,2017-06-28
CORDSCABLE,EQ,106.2,116.7,105.8,113.65,116,107.2,117149,13217954.25,1314,INE792I01017,2017-06-28
COROMANDEL,EQ,415,421.4,405.4,410.05,408.3,415.55,173919,71693809.7,6017,INE169A01031,2017-06-28
CORPBANK,EQ,50.45,51.9,49.4,50.65,50.6,50.45,292134,14767423.9,1901,INE112A01023,2017-06-28
DABUR,EQ,289.75,291.95,286.8,289.9,290,290,3270135,946739582.2,23130,INE016A01026,2017-06-28
DALMIABHA,EQ,2380,2441.35,2350.95,2429.5,2435,2378.7,89307,213757663.4,5118,INE439L01019,2017-06-28
DALMIASUG,EQ,122.1,126,120.55,124.7,125,122.1,67596,8402141.9,904,INE495A01022,2017-06-28
DAMODARIND,EQ,82,84.25,81.4,83.35,83.45,82.1,3736,311541.4,63,INE497D01014,2017-06-28
DATAMATICS,EQ,100.4,105,100.4,102.15,102.9,101,105389,10841045.5,2203,INE365B01017,2017-06-28
DBCORP,EQ,376,377.95,367.55,376.1,373.35,377.6,17740,6631287.85,980,INE950I01011,2017-06-28
DBL,EQ,412.8,429.05,407.25,421.75,424,409.9,893308,377169196.7,6120,INE917M01012,2017-06-28
DBREALTY,EQ,39.2,40,38.7,39.4,39.3,39.55,235682,9293954.15,1357,INE879I01012,2017-06-28
DBSTOCKBRO,EQ,8.6,8.75,8.6,8.75,8.75,8.75,705,6093,10,INE921B01025,2017-06-28
DCBBANK,EQ,191,197.55,189.15,196.75,196.5,193.85,1714208,332985971.45,13594,INE503A01015,2017-06-28
DCM,EQ,117.35,119.75,115.35,116.3,116,118.15,31279,3679588.75,346,INE498A01018,2017-06-28
DCMSHRIRAM,EQ,340.1,345.75,334,338,337.05,342.65,48943,16668941.35,2406,INE499A01024,2017-06-28
DCW,EQ,32.75,33.75,32.7,33,33,33.3,526498,17488331.25,936,INE500A01029,2017-06-28
DECCANCE,EQ,1079,1090.95,1063.1,1081.4,1080,1073.35,3277,3538593.55,649,INE583C01013,2017-06-28
DEEPAKFERT,EQ,268.75,272.5,266.2,269.65,269.1,268.85,87754,23702185.05,3203,INE501A01019,2017-06-28
DEEPAKNTR,EQ,154.05,159.95,151.65,158.4,157.05,156.45,54401,8564922.4,1107,INE288B01029,2017-06-28
DEEPIND,EQ,272.05,281.35,272.05,278.55,278.8,272.85,98342,27271137.35,1280,INE677H01012,2017-06-28
DELTACORP,EQ,150.9,156.4,149.05,154.7,154.85,150.6,3073387,468982861.8,19163,INE124G01033,2017-06-28
DEN,EQ,78.25,79,76.35,78.4,77.5,77.95,196837,15394577.85,1491,INE947J01015,2017-06-28
DENABANK,EQ,33.15,34.05,33.1,33.3,33.25,33.5,752263,25169523.5,2529,INE077A01010,2017-06-28
DENORA,EQ,244.8,254.5,243.5,253.8,254.2,247.65,2709,675468.15,292,INE244A01016,2017-06-28
DFMFOODS,EQ,1400,1434.95,1361.2,1422.15,1426,1389.1,17939,25364144,1366,INE456C01012,2017-06-28
DHAMPURSUG,EQ,181,189.7,180,188.05,188,180.75,501194,93283894.9,8399,INE041A01016,2017-06-28
DHANBANK,EQ,37,38.1,36.3,37.15,36.95,37.05,907705,33882063.2,2060,INE680A01011,2017-06-28
DHANUKA,EQ,856,874.9,840,847.35,843.15,873.45,25775,21975073.1,1319,INE435G01025,2017-06-28
EDUCOMP,EQ,8.15,8.35,8,8.05,8.05,8.15,238687,1932513.8,389,INE216H01027,2017-06-28
EICHERMOT,EQ,26699.95,27310,26400,27224.85,27141,26661.05,43231,1166603838.9,15615,INE066A01013,2017-06-28
EIDPARRY,EQ,296,303,294,296.55,296.7,297.8,186861,55845664.6,2625,INE126A01031,2017-06-28
EIHAHOTELS,EQ,357.1,357.1,343.25,353.1,356,343.35,1920,680993.75,35,INE276C01014,2017-06-28
EIHOTEL,EQ,136.5,137.8,133.6,136.85,137,136.95,64648,8838878.05,467,INE230A01023,2017-06-28
EIMCOELECO,EQ,596.1,614.95,580.65,587.25,581,599.7,3698,2192461.65,223,INE158B01016,2017-06-28
EKC,EQ,32.5,33.5,32.3,32.65,32.65,32.55,83120,2731361.9,552,INE184H01027,2017-06-28
ELAND,EQ,21,22.95,20.65,22,22.15,21.45,40983,897232.15,247,INE311H01018,2017-06-28
ELECON,EQ,56.1,56.65,55.1,56.05,56.1,56.1,81139,4552380.65,995,INE205B01023,2017-06-28
ELECTCAST,EQ,29.1,29.55,28.7,29.15,29.05,29.25,383722,11176194.05,1088,INE086A01029,2017-06-28
ELGIEQUIP,EQ,237.65,240.45,234,235.65,234,237.7,51214,12140951.5,485,INE285A01027,2017-06-28
ELGIRUBCO,EQ,44.25,45,43.6,44.65,45,44.4,26705,1183169.7,150,INE819L01012,2017-06-28
EMAMIINFRA,EQ,134.15,140.15,131,140.15,140.15,133.5,188606,26232476.3,941,INE778K01012,2017-06-28
EMAMILTD,EQ,1070,1075.4,1055,1060.3,1063,1073.85,91430,97504830.75,5324,INE548C01032,2017-06-28
EMCO,EQ,23.55,23.7,23.05,23.2,23.3,23.65,85543,1998659.8,352,INE078A01026,2017-06-28
EMMBI,EQ,186.05,186.25,180.5,183.35,186,186.2,10721,1971703.05,680,INE753K01015,2017-06-28
ENDURANCE,EQ,885,895.6,871.35,887.05,887.3,889.85,100918,89369536.65,7219,INE913H01037,2017-06-28
ENERGYDEV,EQ,30.9,30.9,28.85,29.15,29.1,30.35,255807,7421046.6,689,INE306C01019,2017-06-28
ENGINERSIN,EQ,153.75,154.4,152.55,153.15,153,154.35,2068662,317453467.75,14355,INE510A01028,2017-06-28
ENIL,EQ,890.5,915,872.05,906.5,909.1,887.7,7620,6804754.6,535,INE265F01028,2017-06-28
EQUITAS,EQ,151.4,151.6,147.65,149.1,148.9,150.95,1085772,162149528.45,9477,INE988K01017,2017-06-28
EROSMEDIA,EQ,214.05,220.25,211.75,215.3,215.45,215.4,485646,105415640.85,7817,INE416L01017,2017-06-28
ESABINDIA,EQ,610.6,614.95,604.45,611.6,608.05,606.2,3379,2061326.1,50,INE284A01012,2017-06-28
ESCORTS,EQ,644.9,658.8,635,654.55,655.3,650.7,1791112,1162321543.3,32893,INE042A01014,2017-06-28
FCSSOFT,EQ,0.25,0.25,0.2,0.25,0.25,0.2,259393,58205.75,80,INE512B01022,2017-06-28
FDC,EQ,183.6,183.6,180,181.25,180.55,184.1,14464,2628357.8,429,INE258B01022,2017-06-28
FEDDERELEC,EQ,69.3,69.55,68.45,68.8,68.55,69.3,30147,2074016,404,INE249C01011,2017-06-28
FEDERALBNK,EQ,112.5,113.4,111.05,111.95,111.8,112.6,11606357,1301177854.4,32301,INE171A01029,2017-06-28
FEL,EQ,31.15,33,31,31.95,32,31.4,645163,20815968.9,2089,INE623B01027,2017-06-28
FELDVR,EQ,28.1,29,28.05,28.25,28.15,28.2,7948,226279.95,76,IN9623B01058,2017-06-28
FIEMIND,EQ,884.2,884.25,874,876.55,875.1,880.15,13037,11453903.45,805,INE737H01014,2017-06-28
FILATEX,EQ,140.5,143.45,138.1,139.1,138.25,141.95,123917,17310407,587,INE816B01019,2017-06-28
FINCABLES,EQ,474.05,478.45,465.05,467.5,465.55,476.85,67490,31713726.45,2802,INE235A01022,2017-06-28
FINPIPE,EQ,603.7,609,601.05,601.95,601.7,601.4,32532,19638505.15,911,INE183A01016,2017-06-28
FLEXITUFF,EQ,117.25,119,117.1,118.4,118.2,119.2,2091,247554.3,1048,INE060J01017,2017-06-28
FLFL,EQ,296,309.45,295.95,304.2,301,299.9,79973,24327620.55,2953,INE452O01016,2017-06-28
FMGOETZE,EQ,551,567.95,543.3,553.9,550,556,4825,2683256.8,709,INE529A01010,2017-06-28
FMNL,EQ,70,71.95,68.5,70.75,70.75,69.5,23340,1644571.3,129,INE360L01017,2017-06-28
FORTIS,EQ,166.65,171.85,165.5,167,167.45,165.25,9996688,1687072869.9,45395,INE061F01013,2017-06-28
FOSECOIND,EQ,1356,1376.9,1356,1356.8,1356,1356.1,201,272945.9,54,INE519A01011,2017-06-28
FRETAIL,EQ,356,388.95,350,363.95,365.8,354.95,691504,257478994.8,23786,INE752P01024,2017-06-28
FSL,EQ,31.6,32.65,31.5,32.05,32.25,31.75,1132131,36217091.75,2966,INE684F01012,2017-06-28
GABRIEL,EQ,148.05,150,146.15,146.65,146.4,149.9,80819,11940525.75,1295,INE524A01029,2017-06-28
GAEL,EQ,124.05,125.8,122,122.7,123,125.2,46191,5723910.1,799,INE036B01022,2017-06-28
GAIL,EQ,362.4,367.5,355.1,356.05,355.8,359.7,3167738,1142051460.75,44900,INE129A01019,2017-06-28
GAL,EQ,6.75,7.4,6.65,6.85,6.85,6.8,204185,1440817.95,226,INE482J01021,2017-06-28
GALLANTT,EQ,40,40.75,39.4,40.35,40.15,40.35,63358,2575354.4,127,INE297H01019,2017-06-28
GALLISPAT,EQ,204.35,210,202.3,207.55,210,202.15,3284,677873.6,93,INE528K01011,2017-06-28
GAMMNINFRA,EQ,4.05,4.15,3.9,3.95,3.95,4,599037,2407142.3,391,INE181G01025,2017-06-28
GAMMONIND,EQ,9,9.4,9,9.05,9.05,9.05,464274,4221423.55,2275,INE259B01020,2017-06-28
GANDHITUBE,EQ,325.9,333.7,324.6,327.75,327.1,329.7,1796,588995.6,99,INE524B01027,2017-06-28
GANECOS,EQ,358.55,358.55,345,347.7,346.3,354.85,9575,3344265.1,312,INE845D01014,2017-06-28
GANESHHOUC,EQ,109.1,109.1,105.6,107.45,107.15,109.3,48176,5176984.25,783,INE460C01014,2017-06-28
GARDENSILK,EQ,29.6,30,28.4,29.3,29.55,28.6,50607,1491691.3,416,INE526A01016,2017-06-28
GARWALLROP,EQ,815.2,828.7,801,817.55,823,820.35,21210,17264139.3,1985,INE276A01018,2017-06-28
GATI,EQ,126.3,128.95,125.2,127.9,128,125.85,718231,91376988.1,8021,INE152B01027,2017-06-28
GAYAPROJ,EQ,157.65,161.8,155.2,160.15,159.95,158.45,39161,6216939.1,912,INE336H01023,2017-06-28
GDL,EQ,255.05,261.2,255.05,258.05,258.05,258.8,51745,13343869.35,3508,INE852F01015,2017-06-28
GHCL,EQ,225.25,232.9,224.6,230.75,230.7,225.4,99456,22732050.35,1872,INE539A01019,2017-06-28
GICHSGFIN,EQ,547.95,576.55,541.3,573.4,574,552.65,274199,155001776.2,8070,INE289B01019,2017-06-28
GILLANDERS,EQ,66.9,66.95,64.7,65.3,64.7,65.95,12568,833049.4,30,INE047B01011,2017-06-28
GILLETTE,EQ,4901.1,4918.7,4870,4902.5,4900,4906.15,2884,14129278.6,565,INE322A01010,2017-06-28
GINNIFILA,EQ,54,63.95,52.65,62.4,62.15,54.25,2546756,152739472.4,13778,INE424C01010,2017-06-28
GIPCL,EQ,110.55,113.5,109.4,111.8,112.5,110.05,226751,25409081.35,2064,INE162A01010,2017-06-28
GITANJALI,EQ,61.2,62.2,60.65,61.55,61.8,61.25,181308,11154090.55,1574,INE346H01014,2017-06-28
GKWLIMITED,EQ,432,432,418,421.05,421.05,420,60,25497.5,12,INE528A01020,2017-06-28
GLAXO,EQ,2443,2478.9,2432,2464.3,2466.8,2475.5,11798,28927288.55,1556,INE159A01016,2017-06-28
GLENMARK,EQ,628,633,627.15,629.65,629.1,627.9,455621,286953707.6,8434,INE935A01035,2017-06-28
GLOBALVECT,EQ,147.15,166.4,146.55,161.7,162,149.05,390982,62833191.2,5963,INE792H01019,2017-06-28
GLOBOFFS,EQ,33.05,34.2,33.05,33.65,33.8,33.05,34893,1175098.35,245,INE446C01013,2017-06-28
GLOBUSSPR,EQ,68.9,70.95,67.45,68.75,68.55,69.15,75407,5231906.45,828,INE615I01010,2017-06-28
GMBREW,EQ,421.4,437.9,421.4,425.8,425.85,426.1,14717,6313399.05,746,INE075D01018,2017-06-28
GMDCLTD,EQ,137.55,146.9,136,145.45,146.8,137.4,726325,103578700.45,10804,INE131A01031,2017-06-28
GMRINFRA,EQ,19.2,20.45,18.8,19.3,19.45,19.25,64165663,1260525287.35,32237,INE776C01039,2017-06-28
GNA,EQ,229,236,227.15,231.2,231.75,230.95,35674,8269096.4,1060,INE934S01014,2017-06-28
GNFC,EQ,261.7,268.65,259.2,266.5,268.65,262.6,435920,114972196.75,7933,INE113A01013,2017-06-28
GOACARBON,EQ,229.9,254.55,225.6,250.15,254.55,231.45,1773362,431165539.35,27038,INE426D01013,2017-06-28
GOCLCORP,EQ,394.05,412,390.2,409.05,409.9,394.45,7264,2936507.85,321,INE077F01035,2017-06-28
GODFRYPHLP,EQ,1220,1257.95,1192,1222.95,1225.9,1219.4,202975,249567751.9,9559,INE260B01028,2017-06-28
GODREJCP,EQ,974.95,974.95,936,939.1,940,968.75,633717,600130554.7,23563,INE102D01028,2017-06-28
GODREJIND,EQ,624,624,609.4,618.2,616.95,619.3,345726,213321725.15,9027,INE233A01035,2017-06-28
GODREJPROP,EQ,512.65,518,506,509.25,508.1,515,174772,89231544.55,13149,INE484J01027,2017-06-28
GOKEX,EQ,82.15,83.45,81.4,81.55,81.5,82.55,60768,4997863.75,408,INE887G01027,2017-06-28
HARITASEAT,EQ,744,760,735,742.4,744,723.6,14409,10708699.1,747,INE939D01015,2017-06-28
HARRMALAYA,EQ,74,77.75,74,76,76.15,75.5,68142,5206474.5,816,INE544A01019,2017-06-28
HATHWAY,EQ,36.55,38.25,35.75,37.05,36.8,36.35,272872,10105131.75,4188,INE982F01036,2017-06-28
HATSUN,EQ,613,613,590.8,600.1,603,603.9,7379,4443275.85,351,INE473B01035,2017-06-28
HAVELLS,EQ,472.5,473.9,459.45,462.4,461,470.1,991285,460518512.25,25109,INE176B01034,2017-06-28
HBLPOWER,EQ,40.35,40.8,39.3,39.7,40,40.35,179438,7168105.15,943,INE292B01021,2017-06-28
HCC,EQ,39.4,39.75,38.5,39.25,39.15,39,3142235,123250160.55,6864,INE549A01026,2017-06-28
HCG,EQ,244.9,249.2,241.15,248.65,249.2,244.9,384017,94148530.3,1678,INE075I01017,2017-06-28
HCL-INSYS,EQ,44.5,45.4,44.15,45.05,45.3,44.55,857003,38386908.25,3960,INE236A01020,2017-06-28
HCLTECH,EQ,838.5,857.25,833.3,848.4,846.05,840.2,1238382,1050482877.7,42324,INE860A01027,2017-06-28
HDFC,EQ,1656.5,1658.8,1623.1,1629,1624,1651.05,1683069,2756190358.45,96590,INE001A01036,2017-06-28
HDFCBANK,EQ,1665,1675,1657.8,1666.45,1666.5,1667.65,1112259,1853114829.75,33276,INE040A01026,2017-06-28
HDFCMFGETF,EQ,2662.5,2674,2645.3,2645.55,2645.55,2663.15,537,1426155.1,117,INF179K01CN1,2017-06-28
HDFCNIFETF,EQ,965,965,964.7,964.7,964.7,968.46,201,193964.7,2,INF179KB1KP3,2017-06-28
HDFCSENETF,EQ,3169.55,3169.55,3169.55,3169.55,3169.55,3250,1,3169.55,1,INF179KB1KQ1,2017-06-28
HDIL,EQ,85.45,88.8,85.05,87.8,88.15,85.3,15352657,1342182474.4,45214,INE191I01012,2017-06-28
HEG,EQ,315,333,312.1,318.4,318,323.5,207077,66816513.9,7286,INE545A01016,2017-06-28
HEIDELBERG,EQ,124.75,125.75,123.2,125.1,125.05,124.25,54703,6824926.15,966,INE578A01017,2017-06-28
HERCULES,EQ,153.1,155,151.3,151.7,152.2,152.9,14656,2233256.15,376,INE688E01024,2017-06-28
HERITGFOOD,EQ,1065,1094.8,1040,1047.9,1043.2,1071.75,41276,43951777.55,4523,INE978A01019,2017-06-28
HEROMOTOCO,EQ,3681,3723.6,3667.05,3688.45,3688.4,3695.2,496312,1835577487.45,40066,INE158A01026,2017-06-28
HESTERBIO,EQ,865,899.75,860,879.5,897,864.75,2207,1929850.2,142,INE782E01017,2017-06-28
HEXATRADEX,EQ,18.6,19.7,18.6,18.85,18.8,18.8,5402,101047.95,29,INE750M01017,2017-06-28
HEXAWARE,EQ,246,248.65,240.1,242.1,243.35,246.05,781335,190637552.05,12431,INE093A01033,2017-06-28
HFCL,EQ,12.2,12.25,12,12.05,12.05,12.15,848357,10298035.35,792,INE548A01028,2017-06-28
HGS,EQ,525,527.45,511.85,519.55,521.8,525.15,7860,4085717.05,458,INE170I01016,2017-06-28
HIGHGROUND,EQ,14.6,14.95,14.15,14.45,14.4,14.5,1254387,18172904.55,1607,INE361M01021,2017-06-28
HIKAL,EQ,206.7,208,202.1,202.75,202.8,204.25,14046,2865226.15,511,INE475B01022,2017-06-28
HIL,EQ,935.95,962,924.05,946.9,948,935.1,11611,10979733.3,967,INE557A01011,2017-06-28
HILTON,EQ,30.55,33,29.65,32.1,32.5,31.1,71462,2248499.8,486,INE788H01017,2017-06-28
HIMATSEIDE,EQ,332.55,344,328.05,339.85,340,332.3,181441,61285911.25,5894,INE049A01027,2017-06-28
HINDALCO,EQ,188,190.4,185.8,189.85,190,187.75,8184171,1543653222,57784,INE038A01020,2017-06-28
HINDCOMPOS,EQ,575.05,595,575,584.8,580,584.85,5566,3236826.5,438,INE310C01029,2017-06-28
ICICIBANK,EQ,288.75,293.3,288.75,290.35,289.95,287.9,17157094,4992441139.3,94651,INE090A01021,2017-06-28
ICICIPRULI,EQ,438.25,459.75,435.85,457.55,457.8,440,808440,364395664.4,31924,INE726G01019,2017-06-28
ICIL,EQ,165.3,169.6,161.4,168.55,168.1,165.6,566133,94176296.3,7220,INE483B01026,2017-06-28
ICRA,EQ,3992.05,4036,3992.05,4028.6,4030,4032.25,4201,16881390.8,729,INE725G01011,2017-06-28
ICSA,EQ,2.65,2.7,2.65,2.65,2.65,2.65,5595,14854.25,18,INE306B01029,2017-06-28
IDBI,EQ,55,55.4,53.8,54.05,53.9,55.15,5005534,272881590.9,17886,INE008A01015,2017-06-28
IDBIGOLD,EQ,2650,2650,2640,2641,2641,2642,25,66073,3,INF397L01554,2017-06-28
IDEA,EQ,81.75,84.3,80.7,83.5,83.95,81.15,8073979,664319088.2,22813,INE669E01016,2017-06-28
IDFC,EQ,54.3,55.75,54.3,55.6,55.7,54.95,4481435,247289606.4,7320,INE043D01016,2017-06-28
IDFCBANK,EQ,55.3,55.95,54.8,55.3,55.25,55.7,9143866,506166589.75,27629,INE092T01019,2017-06-28
